id,species,sepal_length,sepal_width,petal_length,petal_width,Anomaly,Anomaly_Score
1,Iris-setosa,5.1,3.5,1.4,0.2,0,-0.010918342833487181
2,Iris-setosa,4.9,3.0,1.4,0.2,0,-0.1058791380238742
3,Iris-setosa,4.7,3.2,1.3,0.2,0,-0.16085012250468608
4,Iris-setosa,4.6,3.1,1.5,0.2,0,-0.1089653641790734
5,Iris-setosa,5.0,3.6,1.4,0.2,0,-0.10337206923290632
6,Iris-setosa,5.4,3.9,1.7,0.4,0,-0.04340585623104093
7,Iris-setosa,4.6,3.4,1.4,0.3,0,-0.06864770333693151
8,Iris-setosa,5.0,3.4,1.5,0.2,0,-0.08533442690285478
9,Iris-setosa,4.4,2.9,1.4,0.2,0,-0.059159225323998546
10,Iris-setosa,4.9,3.1,1.5,0.1,0,-0.09735015772190644
11,Iris-setosa,5.4,3.7,1.5,0.2,0,-0.04610199459687442
12,Iris-setosa,4.8,3.4,1.6,0.2,0,-0.10225412632925497
13,Iris-setosa,4.8,3.0,1.4,0.1,0,-0.09311164426017529
14,Iris-setosa,4.3,3.0,1.1,0.1,0,-0.023586077111111135
15,Iris-setosa,5.8,4.0,1.2,0.2,0,-0.04186901118452504
16,Iris-setosa,5.7,4.4,1.5,0.4,0,-0.05849091878375188
17,Iris-setosa,5.4,3.9,1.3,0.4,0,-0.12088865726226479
18,Iris-setosa,5.1,3.5,1.4,0.3,0,-0.07370866180386255
19,Iris-setosa,5.7,3.8,1.7,0.3,0,-0.0649522929088444
20,Iris-setosa,5.1,3.8,1.5,0.3,0,-0.08973680157090244
21,Iris-setosa,5.4,3.4,1.7,0.2,0,-0.08511725567792174
22,Iris-setosa,5.1,3.7,1.5,0.4,0,-0.09657448343425482
23,Iris-setosa,4.6,3.6,1.0,0.2,0,-0.038684134305071075
24,Iris-setosa,5.1,3.3,1.7,0.5,0,-0.0762548004067795
25,Iris-setosa,4.8,3.4,1.9,0.2,0,-0.094300671218338
26,Iris-setosa,5.0,3.0,1.6,0.2,0,-0.10751213415869061
27,Iris-setosa,5.0,3.4,1.6,0.4,0,-0.14868209757650647
28,Iris-setosa,5.2,3.5,1.5,0.2,0,-0.1721724071164167
29,Iris-setosa,5.2,3.4,1.4,0.2,0,-0.14301991979761336
30,Iris-setosa,4.7,3.2,1.6,0.2,0,-0.13150844621082516
31,Iris-setosa,4.8,3.1,1.6,0.2,0,-0.11385412790980014
32,Iris-setosa,5.4,3.4,1.5,0.4,0,-0.07553843896098708
33,Iris-setosa,5.2,4.1,1.5,0.1,0,-0.07783219592783815
34,Iris-setosa,5.5,4.2,1.4,0.2,0,-0.05175390591344674
35,Iris-setosa,4.9,3.1,1.5,0.1,0,-0.059836683165988946
36,Iris-setosa,5.0,3.2,1.2,0.2,0,-0.10377892804328843
37,Iris-setosa,5.5,3.5,1.3,0.2,0,-0.056699017183834646
38,Iris-setosa,4.9,3.1,1.5,0.1,0,-0.09766732400133615
39,Iris-setosa,4.4,3.0,1.3,0.2,0,-0.05438281490835337
40,Iris-setosa,5.1,3.4,1.5,0.2,0,-0.08393494904675211
41,Iris-setosa,5.0,3.5,1.3,0.3,0,-0.06496537400068894
42,Iris-setosa,4.5,2.3,1.3,0.3,0,-0.02021262353884523
43,Iris-setosa,4.4,3.2,1.3,0.2,0,-0.05085962882616583
44,Iris-setosa,5.0,3.5,1.6,0.6,0,-0.0776154483346935
45,Iris-setosa,5.1,3.8,1.9,0.4,0,-0.056719385679544
46,Iris-setosa,4.8,3.0,1.4,0.3,0,-0.041717889468797655
47,Iris-setosa,5.1,3.8,1.6,0.2,0,-0.05057338458191696
48,Iris-setosa,4.6,3.2,1.4,0.2,0,-0.05014645343009293
49,Iris-setosa,5.3,3.7,1.5,0.2,0,-0.049912611926737585
50,Iris-setosa,5.0,3.3,1.4,0.2,0,-0.01862921215531351
51,Iris-versicolor,7.0,3.2,4.7,1.4,0,-0.013286818241213163
52,Iris-versicolor,6.4,3.2,4.5,1.5,0,-0.04162902238733633
53,Iris-versicolor,6.9,3.1,4.9,1.5,0,-0.03633272645171563
54,Iris-versicolor,5.5,2.3,4.0,1.3,0,-0.012686297735853946
55,Iris-versicolor,6.5,2.8,4.6,1.5,0,-0.03579498770110613
56,Iris-versicolor,5.7,2.8,4.5,1.3,0,-0.032887073645819366
57,Iris-versicolor,6.3,3.3,4.7,1.6,0,-0.027534367206282162
58,Iris-versicolor,4.9,2.4,3.3,1.0,0,-0.008034008689116084
59,Iris-versicolor,6.6,2.9,4.6,1.3,0,-0.011163210379870322
60,Iris-versicolor,5.2,2.7,3.9,1.4,0,-0.022873223067459682
61,Iris-versicolor,5.0,2.0,3.5,1.0,0,-0.01605046375472654
62,Iris-versicolor,5.9,3.0,4.2,1.5,0,-0.027181900966481747
63,Iris-versicolor,6.0,2.2,4.0,1.0,0,-0.024711422673658532
64,Iris-versicolor,6.1,2.9,4.7,1.4,0,-0.02760258743111695
65,Iris-versicolor,5.6,2.9,3.6,1.3,0,-0.018792517730258078
66,Iris-versicolor,6.7,3.1,4.4,1.4,0,-0.019896294484323767
67,Iris-versicolor,5.6,3.0,4.5,1.5,0,-0.035337103601394915
68,Iris-versicolor,5.8,2.7,4.1,1.0,0,-0.05012239151036992
69,Iris-versicolor,6.2,2.2,4.5,1.5,0,-0.02754573519016377
70,Iris-versicolor,5.6,2.5,3.9,1.1,0,-0.029000515611975565
71,Iris-versicolor,5.9,3.2,4.8,1.8,0,-0.02044193195696578
72,Iris-versicolor,6.1,2.8,4.0,1.3,0,-0.03559850419731324
73,Iris-versicolor,6.3,2.5,4.9,1.5,0,-0.05462419650240945
74,Iris-versicolor,6.1,2.8,4.7,1.2,0,-0.10536990755230416
75,Iris-versicolor,6.4,2.9,4.3,1.3,0,-0.13795175627779735
76,Iris-versicolor,6.6,3.0,4.4,1.4,0,-0.14571404688544373
77,Iris-versicolor,6.8,2.8,4.8,1.4,0,-0.11933666205836838
78,Iris-versicolor,6.7,3.0,5.0,1.7,0,-0.06129488595947706
79,Iris-versicolor,6.0,2.9,4.5,1.5,0,-0.05903733895927066
80,Iris-versicolor,5.7,2.6,3.5,1.0,0,-0.05235668222771428
81,Iris-versicolor,5.5,2.4,3.8,1.1,0,-0.13535659744107414
82,Iris-versicolor,5.5,2.4,3.7,1.0,0,-0.12236837237540354
83,Iris-versicolor,5.8,2.7,3.9,1.2,0,-0.07381874182255105
84,Iris-versicolor,6.0,2.7,5.1,1.6,0,-0.021734461275982175
85,Iris-versicolor,5.4,3.0,4.5,1.5,0,-0.04153737431002624
86,Iris-versicolor,6.0,3.4,4.5,1.6,0,-0.06224367738920222
87,Iris-versicolor,6.7,3.1,4.7,1.5,0,-0.03680018292333292
