id,species,sepal_length,sepal_width,petal_length,petal_width,Anomaly,Anomaly_Score
2,Iris-setosa,4.9,3.0,1.4,0.2,1,1.217656950823414
3,Iris-setosa,4.7,3.2,1.3,0.2,1,1.183005148038413
4,Iris-setosa,4.6,3.1,1.5,0.2,1,1.1531906006433255
5,Iris-setosa,5.0,3.6,1.4,0.2,0,1.1262590148712053
6,Iris-setosa,5.4,3.9,1.7,0.4,0,1.104792012338716
7,Iris-setosa,4.6,3.4,1.4,0.3,0,1.087843020858688
8,Iris-setosa,5.0,3.4,1.5,0.2,0,1.0745906481223935
9,Iris-setosa,4.4,2.9,1.4,0.2,0,1.0665442143937554
10,Iris-setosa,4.9,3.1,1.5,0.1,0,1.0620589629343875
11,Iris-setosa,5.4,3.7,1.5,0.2,0,1.0621284395287574
12,Iris-setosa,4.8,3.4,1.6,0.2,0,1.0388396290647623
13,Iris-setosa,4.8,3.0,1.4,0.1,0,1.0172649067923076
14,Iris-setosa,4.3,3.0,1.1,0.1,0,0.9977663217859748
15,Iris-setosa,5.8,4.0,1.2,0.2,0,0.9809525010571101
16,Iris-setosa,5.7,4.4,1.5,0.4,0,0.9672508479148256
17,Iris-setosa,5.4,3.9,1.3,0.4,0,0.9568982278212778
18,Iris-setosa,5.1,3.5,1.4,0.3,0,0.9498996798103759
19,Iris-setosa,5.7,3.8,1.7,0.3,0,0.9462540665258066
20,Iris-setosa,5.1,3.8,1.5,0.3,0,0.947773735096136
21,Iris-setosa,5.4,3.4,1.7,0.2,0,0.9533973666194419
22,Iris-setosa,5.1,3.7,1.5,0.4,0,0.9642642277643464
23,Iris-setosa,4.6,3.6,1.0,0.2,0,0.9728939071608593
24,Iris-setosa,5.1,3.3,1.7,0.5,0,0.9797521041176742
25,Iris-setosa,4.8,3.4,1.9,0.2,0,0.9846558275675518
26,Iris-setosa,5.0,3.0,1.6,0.2,0,0.9877216437152425
27,Iris-setosa,5.0,3.4,1.6,0.4,0,0.9899618235178742
28,Iris-setosa,5.2,3.5,1.5,0.2,0,0.9909652944695351
29,Iris-setosa,5.2,3.4,1.4,0.2,0,0.9911981686928085
30,Iris-setosa,4.7,3.2,1.6,0.2,0,0.989837105824009
31,Iris-setosa,4.8,3.1,1.6,0.2,0,0.9930931466495254
32,Iris-setosa,5.4,3.4,1.5,0.4,0,0.9952993444323252
33,Iris-setosa,5.2,4.1,1.5,0.1,0,0.9989025718203693
34,Iris-setosa,5.5,4.2,1.4,0.2,0,0.999142312933744
35,Iris-setosa,4.9,3.1,1.5,0.1,0,1.000038655295889
36,Iris-setosa,5.0,3.2,1.2,0.2,0,1.0006679896406498
37,Iris-setosa,5.5,3.5,1.3,0.2,0,1.0011759903708604
38,Iris-setosa,4.9,3.1,1.5,0.1,0,1.000089182068913
39,Iris-setosa,4.4,3.0,1.3,0.2,0,1.0006369498815313
40,Iris-setosa,5.1,3.4,1.5,0.2,0,1.0002352153313994
41,Iris-setosa,5.0,3.5,1.3,0.3,0,0.9971585897442414
42,Iris-setosa,4.5,2.3,1.3,0.3,0,0.9990143710826416
43,Iris-setosa,4.4,3.2,1.3,0.2,0,1.0028657217470633
44,Iris-setosa,5.0,3.5,1.6,0.6,0,1.0036740495140957
45,Iris-setosa,5.1,3.8,1.9,0.4,0,1.0042422033582317
46,Iris-setosa,4.8,3.0,1.4,0.3,0,1.006025352401192
47,Iris-setosa,5.1,3.8,1.6,0.2,0,1.0082522407294279
48,Iris-setosa,4.6,3.2,1.4,0.2,0,1.0110542991942528
49,Iris-setosa,5.3,3.7,1.5,0.2,0,1.0121732645638575
50,Iris-setosa,5.0,3.3,1.4,0.2,0,1.0152412889913598
51,Iris-versicolor,7.0,3.2,4.7,1.4,0,1.0147772014940462
