t,NO2_mean
2021-09-20,5.4945400165909086e-05
2021-09-21,
2021-09-22,2.0837931944444444e-05
2021-09-23,3.1925316326e-05
2021-09-24,3.315288657692308e-05
2021-09-25,4.8593359859154926e-05
2021-09-26,3.4723652550000004e-05
2021-09-27,4.2140461019230766e-05
2021-09-28,6.868397355555556e-05
2021-09-29,5.739385694047619e-05
2021-09-30,4.8024008269767446e-05
2021-10-01,9.708994917910449e-05
2021-10-02,3.035751140625e-05
2021-10-03,6.62966531e-05
2021-10-04,2.92073736e-05
2021-10-05,4.4520533266666665e-05
2021-10-06,
2021-10-07,
2021-10-08,7.816217681818183e-05
2021-10-09,5.06970188e-05
2021-10-10,5.23036634e-05
2021-10-11,8.241433243939394e-05
2021-10-12,4.5146759989583335e-05
2021-10-13,4.7607269859375e-05
2021-10-14,4.6445832103157896e-05
2021-10-15,4.8654627489361705e-05
2021-10-16,5.825681509090909e-05
2021-10-17,4.055410358333333e-05
2021-10-18,9.845086049999999e-06
2021-10-19,2.3597451166666666e-05
2021-10-20,6.298361686419753e-05
2021-10-21,8.814336364556962e-05
2021-10-22,5.1375971483516484e-05
2021-10-23,
2021-10-24,3.7380701478873243e-05
2021-10-25,9.215692236065574e-05
2021-10-26,6.311147072692308e-05
2021-10-27,
2021-10-28,2.0931976318181818e-05
2021-10-29,5.383624946666667e-05
2021-10-30,5.119262408888889e-05
2021-10-31,2.0206233e-05
2021-11-01,2.5483603631818182e-05
2021-11-02,4.6861266914285715e-05
2021-11-03,2.9697598302631577e-05
2021-11-04,
2021-11-05,1.4785978210526317e-05
2021-11-06,3.134635336197183e-05
2021-11-07,2.839280391785714e-05
2021-11-08,
2021-11-09,3.006884177777778e-05
2021-11-10,3.292168272972973e-05
2021-11-11,1.97652535e-05
2021-11-12,
2021-11-13,
2021-11-14,3.542117810588235e-05
2021-11-15,
2021-11-16,1.89382713e-05
2021-11-17,6.841299e-05
2021-11-18,6.767608415625e-05
2021-11-19,3.562793675625e-05
2021-11-20,
2021-11-21,2.9989345363636364e-05
2021-11-22,2.9784031303448276e-05
2021-11-23,4.876584161111111e-05
2021-11-24,
2021-11-25,3.547039108333333e-05
2021-11-26,
2021-11-27,3.0342947499999997e-05
2021-11-28,
2021-11-29,
2021-11-30,6.567798860606061e-05
2021-12-01,2.5495445333333333e-05
2021-12-02,1.922667746173913e-05
2021-12-03,2.4146492655555557e-05
2021-12-04,
2021-12-05,
2021-12-06,
2021-12-07,2.3505210625e-05
2021-12-08,2.8740139e-05
2021-12-09,3.486413127160494e-05
2021-12-10,
2021-12-11,3.328693444444444e-05
2021-12-12,2.792445800568182e-05
2021-12-13,2.549128344791667e-05
2021-12-14,6.242198382857143e-05
2021-12-15,
2021-12-16,2.27470147e-05
2021-12-17,2.5127006255813953e-05
2021-12-18,4.0746105568627454e-05
2021-12-19,3.3103022501492536e-05
2021-12-20,3.1515498e-05
2021-12-21,
2021-12-22,2.6379777494736845e-05
2021-12-23,2.264655349130435e-05
2021-12-24,2.8754283654761903e-05
2021-12-25,
2021-12-26,
2021-12-27,2.2686929984210527e-05
2021-12-28,2.733764246111111e-05
2021-12-29,
2021-12-30,2.916234018181818e-05
2021-12-31,1.0934859666666665e-05
2022-01-01,3.57347870625e-05
2022-01-02,2.2550210710256412e-05
2022-01-03,4.025820610491803e-05
2022-01-04,
2022-01-05,
2022-01-06,3.6750465e-05
2022-01-07,2.458078806477273e-05
2022-01-08,3.7440084976562497e-05
2022-01-09,4.84426845e-05
2022-01-10,3.858253458461538e-05
2022-01-11,
2022-01-12,
2022-01-13,3.1320195564e-05
2022-01-14,1.8595916536e-05
2022-01-15,
2022-01-17,
2022-01-18,
2022-01-19,1.5682500522222224e-05
2022-01-20,2.8601167800000002e-05
2022-01-21,2.5790483545454547e-05
2022-01-22,
2022-01-23,2.207193048367347e-05
2022-01-24,1.785103479642857e-05
2022-01-25,2.742538772222222e-05
2022-01-26,2.6722080923076924e-05
2022-01-27,
2022-01-28,4.176982563636363e-05
2022-01-29,3.074814673529412e-05
2022-01-30,2.5133013933333333e-05
2022-01-31,3.039227165e-05
2022-02-01,
2022-02-02,1.7919999549130435e-05
2022-02-03,2.1940599595522386e-05
2022-02-04,3.764102335e-05
2022-02-05,2.645369257142857e-05
2022-02-06,
2022-02-07,
2022-02-08,2.5181747485526314e-05
2022-02-09,3.289106563333333e-05
2022-02-10,
2022-02-11,
2022-02-13,1.8749204137931036e-05
2022-02-14,
2022-02-15,7.07860422e-05
2022-02-16,5.091892865671642e-05
2022-02-17,
2022-02-18,
2022-02-19,2.6274516104999998e-05
2022-02-20,
2022-02-21,
2022-02-22,4.250220476666667e-05
2022-02-23,1.8724073353333335e-05
2022-02-24,2.2084159931764708e-05
