label,model,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,cv_acc_mean_train,cv_acc_std_train
target,logreg,0.9880952380952381,0.9883720930232558,0.9880952380952381,0.9880935506732813,0.9639981908638624,0.007166097628344973
target,rf,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9460425146992311,0.024112975162939823
target,svc,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9490275893260968,0.02623387759622391
target,knn,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9159203980099502,0.033984683738798614
target,gb,0.9523809523809523,0.9534090909090909,0.9523809523809523,0.9523539421440727,0.9461329715061059,0.03202873587463041
nama,logreg,0.9761904761904762,0.9772256728778468,0.9761904761904762,0.976149776149776,0.9939846223428311,0.007367650002459433
nama,rf,0.9880952380952381,0.9883855981416958,0.9880952380952381,0.988100306107969,0.9880144730891001,0.011181573688186293
nama,svc,0.9880952380952381,0.9883855981416958,0.9880952380952381,0.988100306107969,0.9940298507462686,0.007311909679949807
nama,knn,0.9642857142857143,0.9665653495440729,0.9642857142857143,0.9641786784643926,0.9759837177747626,0.015408487996285886
nama,gb,0.9642857142857143,0.9645895794506116,0.9642857142857143,0.964300918323907,0.9699231117141565,0.01664011909552876
