dataset,model,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,cv_acc_mean_train,cv_acc_std_train
all_features,logreg,0.9880952380952381,0.9883720930232558,0.9880952380952381,0.9880935506732813,0.9639981908638624,0.007166097628344973
all_features,rf,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9460425146992311,0.024112975162939823
all_features,svc,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9490275893260968,0.02623387759622391
all_features,knn,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9159203980099502,0.033984683738798614
all_features,gb,0.9523809523809523,0.9534090909090909,0.9523809523809523,0.9523539421440727,0.9461329715061059,0.03202873587463041
statistical,svc,0.8928571428571429,0.89850488786659,0.8928571428571429,0.8924761769307352,0.8407507914970601,0.023005390840643472
statistical,rf,0.8690476190476191,0.8743530764807361,0.8690476190476191,0.8685819940264543,0.8256897331524197,0.054469984158927134
statistical,logreg,0.8452380952380952,0.8551020408163265,0.8452380952380952,0.8441558441558441,0.8259611035730439,0.028711167197207583
statistical,gb,0.8214285714285714,0.8306122448979592,0.8214285714285714,0.8201798201798203,0.8137946630483943,0.03407881416037931
statistical,knn,0.7976190476190477,0.8061224489795917,0.7976190476190477,0.7962037962037962,0.813885119855269,0.030581224366267794
