id,species,sepal_length,sepal_width,petal_length,petal_width,Anomaly,Anomaly_Score
2,Iris-setosa,4.9,3.0,1.4,0.2,1,4.146082514346384
3,Iris-setosa,4.7,3.2,1.3,0.2,0,3.190611312082145
4,Iris-setosa,4.6,3.1,1.5,0.2,0,3.018277674601438
5,Iris-setosa,5.0,3.6,1.4,0.2,0,3.008321779410318
6,Iris-setosa,5.4,3.9,1.7,0.4,0,3.190611312082145
7,Iris-setosa,4.6,3.4,1.4,0.3,0,3.018277674601438
8,Iris-setosa,5.0,3.4,1.5,0.2,0,3.008321779410318
9,Iris-setosa,4.4,2.9,1.4,0.2,0,3.074085245299395
10,Iris-setosa,4.9,3.1,1.5,0.1,0,3.0049958347094954
11,Iris-setosa,5.4,3.7,1.5,0.2,0,3.041381272988266
12,Iris-setosa,4.8,3.4,1.6,0.2,0,3.074085245299395
13,Iris-setosa,4.8,3.0,1.4,0.1,0,3.0049958347094954
14,Iris-setosa,4.3,3.0,1.1,0.1,0,3.296968279825179
15,Iris-setosa,5.8,4.0,1.2,0.2,0,3.128897629153311
16,Iris-setosa,5.7,4.4,1.5,0.4,0,3.0675723609301855
17,Iris-setosa,5.4,3.9,1.3,0.4,0,3.024896719052173
18,Iris-setosa,5.1,3.5,1.4,0.3,0,3.0331502007106352
19,Iris-setosa,5.7,3.8,1.7,0.3,0,3.0675723609301855
20,Iris-setosa,5.1,3.8,1.5,0.3,0,3.024896719052173
21,Iris-setosa,5.4,3.4,1.7,0.2,0,3.0315013015440164
22,Iris-setosa,5.1,3.7,1.5,0.4,0,3.0626785306079847
23,Iris-setosa,4.6,3.6,1.0,0.2,0,3.0903074314478207
24,Iris-setosa,5.1,3.3,1.7,0.5,0,3.0066592778552494
25,Iris-setosa,4.8,3.4,1.9,0.2,0,3.054504813660866
26,Iris-setosa,5.0,3.0,1.6,0.2,0,3.039736833851499
27,Iris-setosa,5.0,3.4,1.6,0.4,0,3.0066592778552494
28,Iris-setosa,5.2,3.5,1.5,0.2,0,3.054504813660866
29,Iris-setosa,5.2,3.4,1.4,0.2,0,3.0149627063035895
30,Iris-setosa,4.7,3.2,1.6,0.2,0,3.0282008081873526
31,Iris-setosa,4.8,3.1,1.6,0.2,0,3.054504833174551
32,Iris-setosa,5.4,3.4,1.5,0.4,0,3.0149627063035895
33,Iris-setosa,5.2,4.1,1.5,0.1,0,3.1543620017210836
34,Iris-setosa,5.5,4.2,1.4,0.2,0,3.082206958940233
35,Iris-setosa,4.9,3.1,1.5,0.1,0,3.0
36,Iris-setosa,5.0,3.2,1.2,0.2,0,3.06757231138226
37,Iris-setosa,5.5,3.5,1.3,0.2,0,3.034798193668562
38,Iris-setosa,4.9,3.1,1.5,0.1,0,3.0
39,Iris-setosa,4.4,3.0,1.3,0.2,0,3.06757231138226
40,Iris-setosa,5.1,3.4,1.5,0.2,0,3.034798193668562
41,Iris-setosa,5.0,3.5,1.3,0.3,0,3.029851489771059
42,Iris-setosa,4.5,2.3,1.3,0.3,0,3.0838287970430307
43,Iris-setosa,4.4,3.2,1.3,0.2,0,3.0364453069212285
44,Iris-setosa,5.0,3.5,1.6,0.6,0,3.029851489771059
45,Iris-setosa,5.1,3.8,1.9,0.4,0,3.1464265265140363
46,Iris-setosa,4.8,3.0,1.4,0.3,0,3.0364453069212285
47,Iris-setosa,5.1,3.8,1.6,0.2,0,3.0430248058478915
48,Iris-setosa,4.6,3.2,1.4,0.2,0,3.1464265265140363
49,Iris-setosa,5.3,3.7,1.5,0.2,0,4.031128883760246
50,Iris-setosa,5.0,3.3,1.4,0.2,1,4.389760857726336
51,Iris-versicolor,7.0,3.2,4.7,1.4,1,4.39772655073729
52,Iris-versicolor,6.4,3.2,4.5,1.5,1,4.085339703857041
53,Iris-versicolor,6.9,3.1,4.9,1.5,0,3.2756679858317153
54,Iris-versicolor,5.5,2.3,4.0,1.3,0,3.349626856989058
55,Iris-versicolor,6.5,2.8,4.6,1.5,0,3.0298514878038163
56,Iris-versicolor,5.7,2.8,4.5,1.3,0,3.135283110214795
57,Iris-versicolor,6.3,3.3,4.7,1.6,0,3.349626856989058
58,Iris-versicolor,4.9,2.4,3.3,1.0,0,3.034798193668562
59,Iris-versicolor,6.6,2.9,4.6,1.3,0,3.1144822698588595
60,Iris-versicolor,5.2,2.7,3.9,1.4,0,3.1717503475256144
61,Iris-versicolor,5.0,2.0,3.5,1.0,0,3.034798193668562
62,Iris-versicolor,5.9,3.0,4.2,1.5,0,3.0822070014844973
63,Iris-versicolor,6.0,2.2,4.0,1.0,0,3.1717503475256144
64,Iris-versicolor,6.1,2.9,4.7,1.4,0,3.0512292456321575
65,Iris-versicolor,5.6,2.9,3.6,1.3,0,3.069201867734389
66,Iris-versicolor,6.7,3.1,4.4,1.4,0,3.174901530473481
67,Iris-versicolor,5.6,3.0,4.5,1.5,0,3.0512292456321575
68,Iris-versicolor,5.8,2.7,4.1,1.0,0,3.069201867734389
69,Iris-versicolor,6.2,2.2,4.5,1.5,0,3.108054035173633
70,Iris-versicolor,5.6,2.5,3.9,1.1,0,3.125699900260037
71,Iris-versicolor,5.9,3.2,4.8,1.8,0,3.093541653486054
72,Iris-versicolor,6.1,2.8,4.0,1.3,0,3.031501320714236
73,Iris-versicolor,6.3,2.5,4.9,1.5,0,3.098386650033704
74,Iris-versicolor,6.1,2.8,4.7,1.2,0,3.08868911485555
75,Iris-versicolor,6.4,2.9,4.3,1.3,0,3.031501320714236
76,Iris-versicolor,6.6,3.0,4.4,1.4,0,3.0643106650893785
77,Iris-versicolor,6.8,2.8,4.8,1.4,0,3.08868911485555
78,Iris-versicolor,6.7,3.0,5.0,1.7,0,3.1224989381151773
79,Iris-versicolor,6.0,2.9,4.5,1.5,0,3.0643106650893785
80,Iris-versicolor,5.7,2.6,3.5,1.0,0,3.036445323115795
81,Iris-versicolor,5.5,2.4,3.8,1.1,0,3.358571102033142
82,Iris-versicolor,5.5,2.4,3.7,1.0,0,3.2031234428588093
83,Iris-versicolor,5.8,2.7,3.9,1.2,0,3.036445323115795
84,Iris-versicolor,6.0,2.7,5.1,1.6,0,3.1336878752665616
85,Iris-versicolor,5.4,3.0,4.5,1.5,0,3.2031234428588093
86,Iris-versicolor,6.0,3.4,4.5,1.6,0,3.0935417035813844
87,Iris-versicolor,6.7,3.1,4.7,1.5,0,3.1336878752665616
88,Iris-versicolor,6.3,2.3,4.4,1.3,0,3.120897348118344
89,Iris-versicolor,5.6,3.0,4.1,1.3,0,3.08382878979498
90,Iris-versicolor,5.5,2.5,4.0,1.3,0,3.018277667195979
91,Iris-versicolor,5.5,2.6,4.4,1.2,0,3.120897348118344
92,Iris-versicolor,6.1,3.0,4.6,1.4,0,3.08382878979498
93,Iris-versicolor,5.8,2.6,4.0,1.2,0,3.018277667195979
94,Iris-versicolor,5.0,2.3,3.3,1.0,0,3.25422806594372
95,Iris-versicolor,5.6,2.7,4.2,1.3,0,3.0675723269267294
96,Iris-versicolor,5.7,3.0,4.2,1.2,0,3.03479819366859
97,Iris-versicolor,5.7,2.9,4.2,1.3,0,3.0033314851239403
98,Iris-versicolor,6.2,2.9,4.3,1.3,0,3.0675723269267294
99,Iris-versicolor,5.1,2.5,3.0,1.1,1,4.0718546072741395
100,Iris-versicolor,5.7,2.8,4.1,1.3,0,3.0033314851239403
101,Iris-virginica,6.3,3.3,6.0,2.5,0,3.937003864335875
102,Iris-virginica,5.8,2.7,5.1,1.9,0,3.187475513289419
103,Iris-virginica,7.1,3.0,5.9,2.1,0,3.120897264084678
104,Iris-virginica,6.3,2.9,5.6,1.8,0,3.132091957240442
105,Iris-virginica,6.5,3.0,5.8,2.2,0,3.171750362559496
106,Iris-virginica,7.6,3.0,6.6,2.1,0,3.2848134932272135
107,Iris-virginica,4.9,2.5,4.5,1.7,0,3.6207731847007034
108,Iris-virginica,7.3,2.9,6.3,1.8,0,3.1890439322200788
109,Iris-virginica,6.7,2.5,5.8,1.8,0,3.064310665089388
110,Iris-virginica,7.2,3.6,6.1,2.5,0,3.1685958313165314
111,Iris-virginica,6.5,3.2,5.1,2.0,0,3.1843367210236333
112,Iris-virginica,6.4,2.7,5.3,1.9,0,3.064310665089388
113,Iris-virginica,6.8,3.0,5.5,2.1,0,3.0463092486067502
114,Iris-virginica,5.7,2.5,5.0,2.0,0,3.1843367210236333
115,Iris-virginica,5.8,2.8,5.1,2.4,0,3.1080540696931123
116,Iris-virginica,6.4,3.2,5.3,2.3,0,3.0463092486067502
117,Iris-virginica,6.5,3.0,5.5,1.8,0,3.190611277521802
118,Iris-virginica,7.7,3.8,6.7,2.2,0,3.581898723384629
119,Iris-virginica,7.7,2.6,6.9,2.3,0,3.689173230226488
120,Iris-virginica,6.0,2.2,5.0,1.5,0,3.581898723384629
